,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Playing Time,Playing Time,Playing Time,Playing Time,Progression,Progression,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,season
,npxG,npxG+xAG,xAG,xG,Ast,G+A,G+A-PK,G-PK,Gls,npxG,npxG+xAG,xAG,xG,xG+xAG,Ast,CrdR,CrdY,G+A,G-PK,Gls,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,Squad,# Pl,Age,Poss,
23,50.6,89.2,38.7,56.8,0.95,2.42,2.24,1.29,1.47,1.33,2.35,1.02,1.49,2.51,36,1.0,57.0,92,49,56,7,8,38.0,38,3420,418,392.0,1131.0,Brentford,25,26.2,43.8,2022-2023
24,68.9,121.2,52.2,73.3,1.21,3.0,2.84,1.63,1.79,1.81,3.19,1.37,1.93,3.3,46,0.0,58.0,114,62,68,6,6,38.0,38,3420,418,809.0,1849.0,Brighton,29,26.3,60.2,2022-2023
25,47.2,85.8,38.6,49.5,0.71,1.68,1.61,0.89,0.97,1.24,2.26,1.02,1.3,2.32,27,3.0,81.0,64,34,37,3,3,38.0,38,3420,418,829.0,1737.0,Chelsea,32,26.3,58.7,2022-2023
26,36.8,65.8,29.0,39.3,0.76,1.76,1.74,0.97,1.0,0.97,1.73,0.76,1.03,1.8,29,3.0,82.0,67,37,38,1,3,38.0,38,3420,418,556.0,1243.0,Crystal Palace,26,26.7,46.3,2022-2023
27,42.8,75.1,32.4,45.2,0.63,1.47,1.39,0.76,0.84,1.13,1.98,0.85,1.19,2.04,24,2.0,81.0,56,29,32,3,3,38.0,38,3420,418,500.0,1052.0,Everton,28,26.6,42.8,2022-2023
28,39.1,67.7,28.5,46.2,0.87,2.24,2.11,1.24,1.37,1.03,1.78,0.75,1.22,1.97,33,1.0,80.0,85,47,52,5,9,38.0,38,3420,418,662.0,1326.0,Fulham,29,28.2,48.8,2022-2023
29,45.0,76.9,31.9,47.4,0.82,2.0,1.97,1.16,1.18,1.18,2.02,0.84,1.25,2.09,31,3.0,89.0,76,44,45,1,3,38.0,38,3420,418,555.0,1429.0,Leeds United,29,25.3,47.0,2022-2023
30,45.8,84.2,38.5,50.6,0.95,2.24,2.16,1.21,1.29,1.2,2.22,1.01,1.33,2.34,36,2.0,63.0,85,46,49,3,6,38.0,38,3420,418,580.0,1304.0,Leicester City,28,26.1,47.7,2022-2023
31,69.5,126.1,56.7,72.6,1.53,3.39,3.34,1.82,1.87,1.83,3.32,1.49,1.91,3.4,58,1.0,57.0,129,69,71,2,4,38.0,38,3420,418,719.0,1992.0,Liverpool,28,27.4,60.8,2022-2023
32,71.1,128.6,57.5,78.6,1.82,4.24,4.0,2.18,2.42,1.87,3.38,1.51,2.07,3.58,69,1.0,44.0,161,83,92,9,10,38.0,38,3420,418,987.0,2073.0,Manchester City,24,27.2,64.7,2022-2023
33,65.3,117.5,52.2,67.7,1.11,2.58,2.5,1.39,1.47,1.72,3.09,1.37,1.78,3.15,42,2.0,78.0,98,53,56,3,3,38.0,38,3420,418,711.0,1595.0,Manchester Utd,26,26.9,53.7,2022-2023
34,67.4,119.3,51.9,72.0,1.11,2.79,2.63,1.53,1.68,1.77,3.14,1.37,1.89,3.26,42,1.0,61.0,106,58,64,6,6,38.0,38,3420,418,694.0,1618.0,Newcastle Utd,27,27.3,52.3,2022-2023
35,34.6,61.0,26.3,39.3,0.58,1.53,1.45,0.87,0.95,0.91,1.6,0.69,1.03,1.73,22,0.0,84.0,58,33,36,3,6,38.0,38,3420,418,435.0,859.0,Nott'ham Forest,33,26.5,37.6,2022-2023
36,34.5,62.7,28.2,37.7,0.66,1.61,1.55,0.89,0.95,0.91,1.65,0.74,0.99,1.73,25,0.0,73.0,61,34,36,2,4,38.0,38,3420,418,588.0,1125.0,Southampton,36,24.7,44.5,2022-2023
