,Squad,npxG,npxG,npxG+xAG,npxG+xAG,xAG,xAG,xG,xG,Ast,Ast,G+A,G+A,G+A-PK,G-PK,G-PK,Gls,Gls,xG+xAG,CrdR,CrdY,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,# Pl,Age,Poss,Season
26,Chelsea,47.2,1.24,85.8,2.26,38.6,1.02,49.5,1.3,0.71,27,1.68,64,1.61,0.89,34,0.97,37,2.32,3.0,81.0,3,3,38.0,38,3420,418,829.0,1737.0,32,26.3,58.7,2022-2023
27,Crystal Palace,36.8,0.97,65.8,1.73,29.0,0.76,39.3,1.03,0.76,29,1.76,67,1.74,0.97,37,1.0,38,1.8,3.0,82.0,1,3,38.0,38,3420,418,556.0,1243.0,26,26.7,46.3,2022-2023
28,Everton,42.8,1.13,75.1,1.98,32.4,0.85,45.2,1.19,0.63,24,1.47,56,1.39,0.76,29,0.84,32,2.04,2.0,81.0,3,3,38.0,38,3420,418,500.0,1052.0,28,26.6,42.8,2022-2023
29,Fulham,39.1,1.03,67.7,1.78,28.5,0.75,46.2,1.22,0.87,33,2.24,85,2.11,1.24,47,1.37,52,1.97,1.0,80.0,5,9,38.0,38,3420,418,662.0,1326.0,29,28.2,48.8,2022-2023
30,Leeds United,45.0,1.18,76.9,2.02,31.9,0.84,47.4,1.25,0.82,31,2.0,76,1.97,1.16,44,1.18,45,2.09,3.0,89.0,1,3,38.0,38,3420,418,555.0,1429.0,29,25.3,47.0,2022-2023
31,Leicester City,45.8,1.2,84.2,2.22,38.5,1.01,50.6,1.33,0.95,36,2.24,85,2.16,1.21,46,1.29,49,2.34,2.0,63.0,3,6,38.0,38,3420,418,580.0,1304.0,28,26.1,47.7,2022-2023
32,Liverpool,69.5,1.83,126.1,3.32,56.7,1.49,72.6,1.91,1.53,58,3.39,129,3.34,1.82,69,1.87,71,3.4,1.0,57.0,2,4,38.0,38,3420,418,719.0,1992.0,28,27.4,60.8,2022-2023
33,Manchester City,71.1,1.87,128.6,3.38,57.5,1.51,78.6,2.07,1.82,69,4.24,161,4.0,2.18,83,2.42,92,3.58,1.0,44.0,9,10,38.0,38,3420,418,987.0,2073.0,24,27.2,64.7,2022-2023
34,Manchester Utd,65.3,1.72,117.5,3.09,52.2,1.37,67.7,1.78,1.11,42,2.58,98,2.5,1.39,53,1.47,56,3.15,2.0,78.0,3,3,38.0,38,3420,418,711.0,1595.0,26,26.9,53.7,2022-2023
35,Newcastle Utd,67.4,1.77,119.3,3.14,51.9,1.37,72.0,1.89,1.11,42,2.79,106,2.63,1.53,58,1.68,64,3.26,1.0,61.0,6,6,38.0,38,3420,418,694.0,1618.0,27,27.3,52.3,2022-2023
36,Nott'ham Forest,34.6,0.91,61.0,1.6,26.3,0.69,39.3,1.03,0.58,22,1.53,58,1.45,0.87,33,0.95,36,1.73,0.0,84.0,3,6,38.0,38,3420,418,435.0,859.0,33,26.5,37.6,2022-2023
37,Southampton,34.5,0.91,62.7,1.65,28.2,0.74,37.7,0.99,0.66,25,1.61,61,1.55,0.89,34,0.95,36,1.73,0.0,73.0,2,4,38.0,38,3420,418,588.0,1125.0,36,24.7,44.5,2022-2023
38,Tottenham,52.4,1.38,95.5,2.51,43.1,1.13,57.1,1.5,1.21,46,3.0,114,2.87,1.66,63,1.79,68,2.64,3.0,77.0,5,6,38.0,38,3420,418,692.0,1449.0,29,27.6,50.0,2022-2023
39,West Ham,43.7,1.15,76.4,2.01,32.7,0.86,49.2,1.29,0.66,25,1.74,66,1.58,0.92,35,1.08,41,2.15,0.0,44.0,6,8,38.0,38,3420,418,614.0,1274.0,25,28.2,42.1,2022-2023
40,Wolves,34.5,0.91,59.9,1.58,25.4,0.67,36.8,0.97,0.32,12,1.05,40,0.97,0.66,25,0.74,28,1.64,6.0,85.0,3,3,38.0,38,3420,418,610.0,1343.0,32,26.7,49.9,2022-2023
41,Arsenal,55.1,1.45,95.4,2.51,40.2,1.06,60.5,1.59,1.08,41,2.66,101,2.53,1.45,55,1.58,60,2.65,4.0,67.0,5,8,38.0,38,3420,418,734.0,1655.0,27,24.4,52.8,2021-2022
42,Aston Villa,42.0,1.1,76.8,2.02,34.8,0.92,44.0,1.16,1.11,42,2.42,92,2.34,1.24,47,1.32,50,2.08,2.0,81.0,3,3,38.0,38,3420,418,653.0,1300.0,31,26.1,46.5,2021-2022
43,Brentford,41.1,1.08,74.1,1.95,33.0,0.87,45.8,1.21,0.87,33,2.08,79,1.92,1.05,40,1.21,46,2.07,3.0,65.0,6,6,38.0,38,3420,418,450.0,1189.0,29,25.4,44.8,2021-2022
44,Brighton,40.7,1.07,72.9,1.92,32.3,0.85,46.2,1.21,0.79,30,1.84,70,1.74,0.95,36,1.05,40,2.06,2.0,72.0,4,7,38.0,38,3420,418,676.0,1547.0,26,26.2,54.4,2021-2022
45,Burnley,38.1,1.0,69.3,1.82,31.2,0.82,39.7,1.05,0.68,26,1.53,58,1.5,0.82,31,0.84,32,1.87,2.0,68.0,1,2,38.0,38,3420,418,388.0,972.0,23,28.5,40.2,2021-2022
46,Chelsea,56.6,1.49,101.5,2.67,44.9,1.18,63.4,1.67,1.37,52,3.34,127,3.13,1.76,67,1.97,75,2.85,1.0,63.0,8,9,38.0,38,3420,418,894.0,1967.0,26,27.4,61.8,2021-2022
47,Crystal Palace,40.1,1.06,71.1,1.87,31.0,0.82,46.4,1.22,0.82,31,2.13,81,1.97,1.16,44,1.32,50,2.04,1.0,69.0,6,8,38.0,38,3420,418,592.0,1229.0,24,27.1,51.1,2021-2022
