,Squad,Poss,Live,Succ%,Tkld%,Mis,Dis,PrgR,Season
88,Leicester City,57.1,26240,54.8,45.2,602,328,1601,2019-2020
89,Liverpool,62.9,29743,58.8,41.2,607,306,1925,2019-2020
90,Manchester City,66.2,31873,67.5,32.6,456,341,2453,2019-2020
91,Manchester Utd,55.8,25824,59.7,40.3,559,396,1779,2019-2020
92,Newcastle Utd,39.0,18909,59.3,40.7,594,288,826,2019-2020
93,Norwich City,49.3,23407,60.5,39.4,591,405,1159,2019-2020
94,Sheffield Utd,43.1,20999,64.7,35.0,519,292,1334,2019-2020
95,Southampton,48.9,22196,62.2,37.8,654,362,1308,2019-2020
96,Tottenham,52.0,24725,60.1,39.8,577,437,1398,2019-2020
97,Watford,42.9,20073,55.7,44.1,549,348,1152,2019-2020
98,West Ham,44.1,20988,59.9,39.8,496,322,1370,2019-2020
99,Wolves,48.3,22656,62.3,37.7,540,338,1320,2019-2020
100,Arsenal,58.1,26665,56.7,43.3,564,409,1869,2018-2019
101,Bournemouth,46.9,22071,50.3,49.7,565,356,1422,2018-2019
102,Brighton,42.4,20249,52.1,47.9,590,336,1138,2018-2019
103,Burnley,41.2,19186,55.9,44.1,525,314,1020,2018-2019
104,Cardiff City,35.4,16257,54.7,45.1,519,332,902,2018-2019
105,Chelsea,62.9,30769,63.9,36.0,512,458,2135,2018-2019
106,Crystal Palace,45.2,21668,56.5,43.5,576,473,1448,2018-2019
107,Everton,51.5,23011,55.9,44.0,693,469,1566,2018-2019
108,Fulham,48.8,23754,62.2,37.8,594,486,1471,2018-2019
109,Huddersfield,47.2,21976,51.9,48.1,567,399,1233,2018-2019
110,Leicester City,50.9,23650,59.0,41.0,582,357,1530,2018-2019
111,Liverpool,61.8,29521,57.5,42.5,603,424,1988,2018-2019
112,Manchester City,67.9,32234,59.5,40.3,509,393,2412,2018-2019
113,Manchester Utd,54.7,25083,58.0,41.8,528,424,1662,2018-2019
114,Newcastle Utd,40.4,20045,53.2,46.6,590,400,976,2018-2019
115,Southampton,43.4,20807,56.5,43.5,539,380,1313,2018-2019
116,Tottenham,59.0,27307,55.1,44.9,603,349,1727,2018-2019
117,Watford,46.7,21507,53.8,46.2,586,418,1273,2018-2019
118,West Ham,48.6,22536,58.2,41.8,552,390,1471,2018-2019
119,Wolves,46.8,22680,55.5,44.3,498,401,1335,2018-2019
120,Arsenal,61.4,29141,70.0,30.0,540,412,2210,2017-2018
121,Bournemouth,48.1,22237,53.8,45.6,564,419,1505,2017-2018
122,Brighton,43.7,20471,61.4,38.6,496,296,1216,2017-2018
123,Burnley,43.7,19452,63.2,36.8,489,345,1090,2017-2018
124,Chelsea,55.6,27162,69.9,30.1,533,414,1969,2017-2018
125,Crystal Palace,45.2,20767,66.7,33.3,618,482,1297,2017-2018
126,Everton,45.5,20986,57.3,42.7,616,381,1152,2017-2018
127,Huddersfield,45.7,21338,56.2,43.8,546,416,1189,2017-2018
128,Leicester City,48.0,21316,58.8,40.9,516,358,1251,2017-2018
129,Liverpool,60.3,28756,67.5,32.2,574,447,2218,2017-2018
130,Manchester City,71.0,33620,68.7,31.1,553,406,2550,2017-2018
131,Manchester Utd,54.7,25904,63.3,36.7,512,399,1547,2017-2018
132,Newcastle Utd,41.7,20179,56.8,43.0,523,410,1134,2017-2018
133,Southampton,51.3,23166,71.4,28.4,495,379,1592,2017-2018
134,Stoke City,41.4,18932,64.1,35.9,532,403,1123,2017-2018
135,Swansea City,45.3,21277,60.8,39.2,503,439,1174,2017-2018
136,Tottenham,61.8,27818,60.6,39.1,534,460,2228,2017-2018
137,Watford,49.7,21686,58.8,41.2,547,410,1429,2017-2018
138,West Brom,40.7,19183,60.9,38.9,532,446,1093,2017-2018
139,West Ham,45.2,20450,65.9,34.0,503,389,1162,2017-2018
