,Squad,Ast,Gls,PrgP,Poss,Season
102,Brighton,0.63,0.92,1150.0,42.4,2018-2019
103,Burnley,0.84,1.13,1032.0,41.2,2018-2019
104,Cardiff City,0.53,0.87,918.0,35.4,2018-2019
105,Chelsea,1.37,1.61,2155.0,62.9,2018-2019
106,Crystal Palace,0.87,1.26,1458.0,45.2,2018-2019
107,Everton,0.89,1.39,1581.0,51.5,2018-2019
108,Fulham,0.63,0.87,1487.0,48.8,2018-2019
109,Huddersfield,0.34,0.55,1248.0,47.2,2018-2019
110,Leicester City,0.89,1.26,1537.0,50.9,2018-2019
111,Liverpool,1.45,2.26,2008.0,61.8,2018-2019
112,Manchester City,1.87,2.39,2429.0,67.9,2018-2019
113,Manchester Utd,1.05,1.71,1668.0,54.7,2018-2019
114,Newcastle Utd,0.87,1.08,985.0,40.4,2018-2019
115,Southampton,0.71,1.16,1333.0,43.4,2018-2019
116,Tottenham,1.24,1.74,1744.0,59.0,2018-2019
117,Watford,1.03,1.34,1294.0,46.7,2018-2019
118,West Ham,0.87,1.34,1478.0,48.6,2018-2019
119,Wolves,0.92,1.21,1350.0,46.8,2018-2019
120,Arsenal,1.61,1.92,2223.0,61.4,2017-2018
121,Bournemouth,0.95,1.18,1526.0,48.1,2017-2018
122,Brighton,0.66,0.87,1230.0,43.7,2017-2018
123,Burnley,0.68,0.92,1103.0,43.7,2017-2018
124,Chelsea,1.11,1.58,1998.0,55.6,2017-2018
125,Crystal Palace,0.68,1.16,1308.0,45.2,2017-2018
126,Everton,0.68,1.11,1161.0,45.5,2017-2018
127,Huddersfield,0.5,0.66,1210.0,45.7,2017-2018
128,Leicester City,1.0,1.39,1271.0,48.0,2017-2018
129,Liverpool,1.53,2.16,2236.0,60.3,2017-2018
130,Manchester City,2.24,2.71,2570.0,71.0,2017-2018
131,Manchester Utd,1.39,1.76,1564.0,54.7,2017-2018
132,Newcastle Utd,0.76,1.0,1145.0,41.7,2017-2018
133,Southampton,0.61,0.95,1609.0,51.3,2017-2018
134,Stoke City,0.74,0.89,1150.0,41.4,2017-2018
135,Swansea City,0.53,0.71,1194.0,45.3,2017-2018
136,Tottenham,1.34,1.84,2249.0,61.8,2017-2018
137,Watford,0.71,1.11,1455.0,49.7,2017-2018
138,West Brom,0.63,0.82,1106.0,40.7,2017-2018
139,West Ham,0.76,1.26,1179.0,45.2,2017-2018
