,Squad,Cmp%,Ast,KP,1/3,CrsPA,Season
118,West Ham,76.8,33,325,1005,55,2018-2019
119,Wolves,76.5,35,348,1053,73,2018-2019
120,Arsenal,82.9,61,444,1658,49,2017-2018
121,Bournemouth,74.9,36,348,1220,67,2017-2018
122,Brighton,72.3,25,283,885,65,2017-2018
123,Burnley,68.6,26,278,974,89,2017-2018
124,Chelsea,82.1,42,482,1431,74,2017-2018
125,Crystal Palace,73.3,26,331,1037,58,2017-2018
126,Everton,72.6,26,263,1044,70,2017-2018
127,Huddersfield,71.5,19,260,937,77,2017-2018
128,Leicester City,72.2,38,297,1010,72,2017-2018
129,Liverpool,81.8,58,488,1763,67,2017-2018
130,Manchester City,87.3,85,498,2026,44,2017-2018
131,Manchester Utd,81.2,53,377,1324,73,2017-2018
132,Newcastle Utd,70.7,29,321,911,75,2017-2018
133,Southampton,75.3,23,343,1154,77,2017-2018
134,Stoke City,69.5,28,288,921,60,2017-2018
135,Swansea City,75.8,20,223,973,57,2017-2018
136,Tottenham,81.4,51,462,1793,63,2017-2018
137,Watford,72.8,27,320,1071,79,2017-2018
138,West Brom,69.9,24,272,967,115,2017-2018
139,West Ham,72.7,29,278,989,78,2017-2018
140,Arsenal,85.4,14,131,518,21,2023-2024
141,Aston Villa,84.1,18,140,440,28,2023-2024
142,Bournemouth,76.4,6,96,287,19,2023-2024
143,Brentford,77.9,13,119,299,24,2023-2024
144,Brighton,87.3,18,137,417,21,2023-2024
145,Burnley,80.4,8,93,263,12,2023-2024
146,Chelsea,85.8,12,121,476,17,2023-2024
147,Crystal Palace,78.7,10,110,338,16,2023-2024
148,Everton,73.6,7,113,279,25,2023-2024
149,Fulham,81.0,4,97,366,25,2023-2024
150,Liverpool,84.5,17,162,464,20,2023-2024
151,Luton Town,68.1,5,102,245,31,2023-2024
152,Manchester City,88.4,24,161,537,19,2023-2024
153,Manchester Utd,81.6,10,141,483,21,2023-2024
154,Newcastle Utd,83.0,17,116,330,20,2023-2024
155,Nott'ham Forest,75.3,12,91,255,19,2023-2024
156,Sheffield Utd,72.0,3,69,233,13,2023-2024
157,Tottenham,85.8,19,146,492,13,2023-2024
158,West Ham,77.2,17,109,303,20,2023-2024
159,Wolves,80.0,14,110,280,22,2023-2024
160,Arsenal,83.2,64,443,1637,62,2022-2023
161,Aston Villa,79.2,35,318,964,80,2022-2023
162,Bournemouth,76.2,24,261,850,75,2022-2023
163,Brentford,72.8,36,284,922,87,2022-2023
164,Brighton,83.9,46,480,1459,78,2022-2023
165,Chelsea,83.8,27,376,1426,68,2022-2023
166,Crystal Palace,77.4,29,316,1013,51,2022-2023
167,Everton,74.7,24,308,964,67,2022-2023
168,Fulham,77.6,33,306,1044,97,2022-2023
169,Leeds United,73.5,31,337,1086,70,2022-2023
170,Leicester City,78.9,36,319,1142,52,2022-2023
171,Liverpool,82.3,58,458,1615,85,2022-2023
172,Manchester City,87.3,69,464,1770,75,2022-2023
173,Manchester Utd,80.9,42,478,1268,57,2022-2023
174,Newcastle Utd,78.1,42,435,1083,64,2022-2023
175,Nott'ham Forest,70.1,22,246,660,50,2022-2023
176,Southampton,75.2,25,302,938,71,2022-2023
177,Tottenham,81.2,46,386,1071,104,2022-2023
178,West Ham,75.6,25,340,990,80,2022-2023
179,Wolves,79.6,12,294,1110,71,2022-2023
180,Arsenal,81.5,41,437,1354,74,2021-2022
181,Aston Villa,77.3,42,356,1019,70,2021-2022
182,Brentford,71.8,33,311,942,81,2021-2022
183,Brighton,79.7,30,356,1187,72,2021-2022
184,Burnley,67.0,26,286,877,84,2021-2022
185,Chelsea,85.1,52,439,1614,66,2021-2022
186,Crystal Palace,78.5,31,305,990,75,2021-2022
187,Everton,71.2,29,323,898,77,2021-2022
188,Leeds United,76.5,26,347,995,53,2021-2022
189,Leicester City,80.1,46,312,1025,57,2021-2022
190,Liverpool,82.8,71,527,1878,92,2021-2022
191,Manchester City,87.5,63,536,2110,74,2021-2022
192,Manchester Utd,80.9,46,407,1315,65,2021-2022
193,Newcastle Utd,72.7,23,308,791,55,2021-2022
194,Norwich City,75.7,16,264,739,46,2021-2022
195,Southampton,73.8,26,353,1016,58,2021-2022
196,Tottenham,83.1,50,379,1172,81,2021-2022
197,Watford,71.2,26,298,834,70,2021-2022
198,West Ham,78.0,46,320,1106,87,2021-2022
199,Wolves,79.8,22,294,1096,57,2021-2022
200,Arsenal,82.7,38,332,1377,67,2020-2021
201,Aston Villa,76.1,38,403,1086,76,2020-2021
202,Brighton,79.4,24,358,1132,80,2020-2021
203,Burnley,69.6,20,267,923,80,2020-2021
204,Chelsea,85.2,38,448,1441,70,2020-2021
205,Crystal Palace,74.5,29,264,838,54,2020-2021
206,Everton,79.1,32,300,944,60,2020-2021
207,Fulham,78.9,18,334,1019,94,2020-2021
208,Leeds United,78.9,45,394,1110,68,2020-2021
209,Leicester City,80.2,45,360,1209,57,2020-2021
210,Liverpool,83.6,43,455,1608,82,2020-2021
211,Manchester City,87.7,55,433,1772,41,2020-2021
212,Manchester Utd,83.1,51,414,1419,54,2020-2021
213,Newcastle Utd,73.7,26,289,739,83,2020-2021
214,Sheffield Utd,74.7,13,253,946,65,2020-2021
215,Southampton,77.4,33,294,894,36,2020-2021
