,Squad,Dist,G/SoT,Gls,SoT%,SoT/90,Season
98,West Ham,16.4,0.29,49,37.8,4.11,2019-2020
99,Wolves,17.4,0.32,49,31.1,3.74,2019-2020
100,Arsenal,16.7,0.41,69,34.4,4.18,2018-2019
101,Bournemouth,17.4,0.31,55,35.0,4.03,2018-2019
102,Brighton,17.9,0.3,35,27.2,2.61,2018-2019
103,Burnley,15.8,0.37,43,31.3,2.95,2018-2019
104,Cardiff City,17.7,0.27,33,27.4,2.97,2018-2019
105,Chelsea,17.8,0.29,61,31.9,5.05,2018-2019
106,Crystal Palace,18.4,0.28,48,28.0,3.55,2018-2019
107,Everton,16.9,0.31,53,33.1,4.29,2018-2019
108,Fulham,19.0,0.22,33,31.0,3.68,2018-2019
109,Huddersfield,19.1,0.17,21,29.0,3.05,2018-2019
110,Leicester City,18.6,0.25,48,34.1,4.55,2018-2019
111,Liverpool,17.0,0.37,86,37.1,5.55,2018-2019
112,Manchester City,16.9,0.35,91,37.1,6.63,2018-2019
113,Manchester Utd,18.7,0.27,65,40.9,5.53,2018-2019
114,Newcastle Utd,18.8,0.29,41,30.7,3.58,2018-2019
115,Southampton,18.9,0.26,44,32.4,4.08,2018-2019
116,Tottenham,18.1,0.34,66,34.1,4.79,2018-2019
117,Watford,17.3,0.34,51,33.9,3.89,2018-2019
118,West Ham,17.2,0.31,51,34.2,3.92,2018-2019
119,Wolves,17.7,0.29,46,30.4,3.79,2018-2019
120,Arsenal,17.9,0.31,73,37.9,5.87,2017-2018
121,Bournemouth,18.3,0.27,45,33.1,4.03,2017-2018
122,Brighton,18.3,0.25,33,29.2,2.89,2017-2018
123,Burnley,17.0,0.28,35,33.3,3.32,2017-2018
124,Chelsea,17.9,0.27,60,34.8,5.53,2017-2018
125,Crystal Palace,17.8,0.27,44,28.8,3.53,2017-2018
126,Everton,17.6,0.34,42,31.3,2.89,2017-2018
127,Huddersfield,18.8,0.22,25,29.4,2.79,2017-2018
128,Leicester City,17.6,0.35,53,32.9,3.61,2017-2018
129,Liverpool,17.7,0.35,82,35.6,5.95,2017-2018
130,Manchester City,17.8,0.38,103,38.7,6.68,2017-2018
131,Manchester Utd,18.4,0.39,67,33.4,4.47,2017-2018
132,Newcastle Utd,19.2,0.26,38,32.4,3.84,2017-2018
133,Southampton,18.1,0.24,36,30.4,3.58,2017-2018
134,Stoke City,18.1,0.28,34,32.1,3.21,2017-2018
135,Swansea City,18.2,0.27,27,28.1,2.5,2017-2018
136,Tottenham,18.4,0.33,70,33.7,5.5,2017-2018
137,Watford,17.9,0.31,42,29.0,3.32,2017-2018
138,West Brom,17.7,0.27,31,29.4,2.92,2017-2018
139,West Ham,18.2,0.36,48,34.5,3.34,2017-2018
